Liga,time,total_jogos_casa,total_jogos_fora,pct_marcou_M60_casa,pct_marcou_M60_fora,avg_min_M60_casa,avg_min_M60_fora,dp_min_M60_casa,dp_min_M60_fora,cv_min_M60_casa,cv_min_M60_fora,n_marcou_M60_casa,n_marcou_M60_fora,%Gl_Ca_61_70M,%Gl_Fo_61_70M,%Gl_Ca_71_80M,%Gl_Fo_71_80M,%Gl_Ca_81_90M,%Gl_Fo_81_90M
Alemanha_1 Bundesliga,Augsburg,14,13,50.0,23.1,77.7,86.7,10.0,11.5,12.9,13.3,7,3,7.1,0.0,28.6,7.7,14.3,30.8
Alemanha_1 Bundesliga,Bayer Leverkusen,13,14,53.8,42.9,78.4,82.2,12.1,12.5,15.4,15.2,7,6,23.1,7.1,15.4,14.3,23.1,21.4
Alemanha_1 Bundesliga,Bayern München,14,13,85.7,84.6,72.6,74.3,10.2,9.4,14.1,12.7,12,11,57.1,53.8,42.9,30.8,50.0,92.3
Alemanha_1 Bundesliga,Borussia Dortmund,14,13,71.4,61.5,84.1,76.8,10.1,12.0,12.1,15.7,10,8,14.3,30.8,21.4,7.7,64.3,38.5
Alemanha_1 Bundesliga,Borussia M'gladbach,13,14,38.5,50.0,70.0,78.1,14.2,11.2,20.3,14.3,5,7,30.8,14.3,15.4,21.4,23.1,21.4
Alemanha_1 Bundesliga,Eintracht Frankfurt,13,14,61.5,35.7,75.5,79.4,10.0,11.2,13.2,14.1,8,5,23.1,7.1,30.8,14.3,30.8,21.4
Alemanha_1 Bundesliga,Freiburg,13,14,53.8,35.7,82.3,71.4,6.0,8.7,7.3,12.2,7,5,0.0,14.3,15.4,28.6,53.8,7.1
Alemanha_1 Bundesliga,Hamburger SV,14,13,35.7,30.8,79.4,71.2,16.9,10.3,21.2,14.5,5,4,14.3,15.4,7.1,7.7,28.6,7.7
Alemanha_1 Bundesliga,Heidenheim,14,13,35.7,30.8,75.4,80.5,12.8,13.5,16.9,16.8,5,4,14.3,7.7,7.1,7.7,35.7,23.1
Alemanha_1 Bundesliga,Hoffenheim,13,14,61.5,35.7,79.4,73.4,11.2,9.3,14.1,12.7,8,5,15.4,14.3,23.1,14.3,30.8,7.1
Alemanha_1 Bundesliga,Köln,14,13,57.1,38.5,81.8,88.6,9.2,5.4,11.2,6.1,8,5,7.1,0.0,7.1,7.7,57.1,38.5
Alemanha_1 Bundesliga,Mainz 05,14,13,42.9,38.5,79.2,72.2,9.4,9.4,11.8,13.1,6,5,7.1,30.8,28.6,0.0,28.6,7.7
Alemanha_1 Bundesliga,RB Leipzig,14,13,50.0,23.1,74.0,64.3,10.0,2.1,13.6,3.2,7,3,28.6,38.5,28.6,0.0,21.4,0.0
Alemanha_1 Bundesliga,St. Pauli,13,14,30.8,21.4,81.5,75.0,10.1,16.8,12.4,22.4,4,3,7.7,14.3,7.7,7.1,23.1,7.1
Alemanha_1 Bundesliga,Stuttgart,13,14,61.5,78.6,82.2,78.7,8.9,8.3,10.9,10.5,8,11,7.7,14.3,23.1,42.9,38.5,50.0
Alemanha_1 Bundesliga,Union Berlin,13,14,46.2,50.0,77.0,83.1,8.8,10.8,11.4,12.9,6,7,7.7,14.3,15.4,0.0,38.5,35.7
Alemanha_1 Bundesliga,Werder Bremen,13,14,46.2,50.0,83.3,71.9,10.1,8.1,12.1,11.3,6,7,0.0,28.6,30.8,14.3,38.5,21.4
Alemanha_1 Bundesliga,Wolfsburg,14,13,35.7,38.5,74.4,68.0,9.4,5.7,12.6,8.4,5,5,21.4,30.8,7.1,7.7,14.3,7.7
Alemanha_2 2. Bundesliga,Arminia Bielefeld,13,14,30.8,50.0,74.2,81.4,11.8,10.6,15.9,13.0,4,7,15.4,7.1,15.4,14.3,23.1,28.6
Alemanha_2 2. Bundesliga,Bochum,14,13,50.0,46.2,70.0,81.3,5.9,11.1,8.4,13.7,7,6,42.9,7.7,7.1,15.4,14.3,23.1
Alemanha_2 2. Bundesliga,Darmstadt 98,14,13,42.9,69.2,73.8,75.6,13.5,13.7,18.2,18.1,6,9,21.4,46.2,14.3,15.4,21.4,23.1
Alemanha_2 2. Bundesliga,Dynamo Dresden,13,14,23.1,35.7,82.0,79.6,8.5,11.8,10.4,14.8,3,5,0.0,7.1,7.7,21.4,15.4,14.3
Alemanha_2 2. Bundesliga,Eintracht Braunschweig,14,13,35.7,23.1,78.6,76.3,14.9,6.7,18.9,8.7,5,3,14.3,7.7,0.0,7.7,21.4,7.7
Alemanha_2 2. Bundesliga,Elversberg,13,14,76.9,57.1,83.7,73.1,8.5,8.4,10.1,11.5,10,8,7.7,21.4,38.5,35.7,53.8,21.4
Alemanha_2 2. Bundesliga,Fortuna Düsseldorf,14,13,50.0,15.4,75.0,74.0,13.0,14.1,17.3,19.1,7,2,28.6,7.7,0.0,7.7,35.7,7.7
Alemanha_2 2. Bundesliga,Greuther Fürth,13,14,38.5,50.0,88.8,77.7,7.0,12.0,7.9,15.4,5,7,0.0,21.4,0.0,21.4,38.5,35.7
Alemanha_2 2. Bundesliga,Hannover 96,13,14,38.5,71.4,80.6,69.0,11.1,8.7,13.8,12.6,5,10,15.4,50.0,23.1,14.3,15.4,28.6
Alemanha_2 2. Bundesliga,Hertha BSC,14,13,28.6,84.6,85.8,78.6,12.9,10.5,15.1,13.4,4,11,7.1,23.1,0.0,38.5,21.4,38.5
Alemanha_2 2. Bundesliga,Holstein Kiel,13,14,38.5,50.0,70.6,80.9,9.1,12.1,12.8,15.0,5,7,23.1,21.4,7.7,0.0,7.7,35.7
Alemanha_2 2. Bundesliga,Kaiserslautern,14,13,50.0,30.8,80.3,74.2,12.5,14.8,15.6,19.9,7,4,14.3,15.4,14.3,7.7,57.1,15.4
Alemanha_2 2. Bundesliga,Karlsruher SC,13,14,69.2,35.7,76.7,78.4,11.3,10.4,14.8,13.3,9,5,23.1,7.1,15.4,14.3,69.2,28.6
Alemanha_2 2. Bundesliga,Magdeburg,13,14,46.2,42.9,70.7,76.7,8.3,9.0,11.7,11.7,6,6,23.1,7.1,15.4,21.4,46.2,35.7
Alemanha_2 2. Bundesliga,Nürnberg,14,13,28.6,38.5,71.8,78.8,7.9,8.5,11.0,10.7,4,5,14.3,0.0,7.1,30.8,21.4,15.4
Alemanha_2 2. Bundesliga,Paderborn,14,13,71.4,38.5,79.6,75.0,14.3,15.3,17.9,20.4,10,5,35.7,23.1,0.0,15.4,50.0,23.1
Alemanha_2 2. Bundesliga,Preußen Münster,14,13,50.0,38.5,82.1,77.4,11.0,10.4,13.4,13.4,7,5,7.1,7.7,14.3,23.1,35.7,15.4
Alemanha_2 2. Bundesliga,Schalke 04,13,14,46.2,42.9,76.8,79.8,8.7,8.1,11.3,10.1,6,6,23.1,7.1,23.1,7.1,23.1,28.6
Alemanha_3 3. Liga,1860 München,15,15,53.3,46.7,84.4,78.0,10.7,11.0,12.7,14.1,8,7,6.7,20.0,13.3,0.0,40.0,40.0
Alemanha_3 3. Liga,Alemannia Aachen,14,16,35.7,68.8,69.0,76.9,8.7,13.0,12.7,16.9,5,11,21.4,31.2,7.1,25.0,28.6,25.0
Alemanha_3 3. Liga,Energie Cottbus,16,14,50.0,71.4,78.0,74.5,12.3,10.7,15.8,14.3,8,10,18.8,35.7,18.8,14.3,31.2,42.9
Alemanha_3 3. Liga,Erzgebirge Aue,15,15,33.3,33.3,81.2,68.6,10.0,6.6,12.3,9.6,5,5,6.7,20.0,6.7,13.3,33.3,6.7
Alemanha_3 3. Liga,Hansa Rostock,15,15,60.0,33.3,79.2,75.0,13.3,3.9,16.8,5.2,9,5,20.0,0.0,20.0,26.7,33.3,20.0
Alemanha_3 3. Liga,Havelse,15,15,53.3,53.3,80.0,77.4,11.6,9.6,14.5,12.4,8,8,13.3,20.0,33.3,26.7,46.7,20.0
Alemanha_3 3. Liga,Hoffenheim II,16,14,37.5,42.9,73.0,78.0,8.5,8.3,11.6,10.6,6,6,18.8,14.3,6.2,21.4,31.2,35.7
Alemanha_3 3. Liga,Ingolstadt,15,15,40.0,80.0,81.5,75.0,9.9,11.4,12.1,15.2,6,12,6.7,40.0,6.7,20.0,40.0,46.7
Alemanha_3 3. Liga,Jahn Regensburg,15,15,60.0,33.3,76.4,73.6,12.1,13.9,15.8,18.9,9,5,26.7,20.0,26.7,13.3,40.0,6.7
Alemanha_3 3. Liga,MSV Duisburg,15,15,60.0,46.7,75.0,74.1,10.1,10.3,13.5,13.9,9,7,20.0,20.0,26.7,26.7,26.7,46.7
Alemanha_3 3. Liga,Osnabrück,15,15,46.7,73.3,73.0,73.1,9.2,9.1,12.7,12.5,7,11,26.7,26.7,13.3,40.0,33.3,20.0
Alemanha_3 3. Liga,Rot-Weiss Essen,15,15,60.0,73.3,69.4,76.7,9.8,9.5,14.1,12.4,9,11,53.3,20.0,0.0,26.7,26.7,73.3
Alemanha_3 3. Liga,Saarbrucken,14,16,35.7,25.0,72.0,77.2,10.0,16.3,13.9,21.1,5,4,21.4,12.5,7.1,0.0,21.4,25.0
Alemanha_3 3. Liga,Schweinfurt,15,15,26.7,13.3,80.8,82.0,7.3,7.1,9.1,8.6,4,2,0.0,0.0,20.0,6.7,26.7,6.7
Alemanha_3 3. Liga,Stuttgart II,14,16,14.3,37.5,80.0,75.8,9.9,11.7,12.4,15.5,2,6,0.0,18.8,7.1,0.0,7.1,18.8
Alemanha_3 3. Liga,Ulm,15,15,46.7,33.3,79.4,80.6,9.2,10.0,11.6,12.4,7,5,6.7,6.7,13.3,6.7,40.0,20.0
Alemanha_3 3. Liga,Verl,15,15,80.0,60.0,73.2,74.1,11.2,7.1,15.3,9.6,12,9,46.7,20.0,40.0,40.0,26.7,26.7
Alemanha_3 3. Liga,Viktoria Köln,16,14,43.8,50.0,78.1,81.0,13.6,10.0,17.4,12.4,7,7,18.8,7.1,12.5,14.3,31.2,35.7
Alemanha_3 3. Liga,Waldhof Mannheim,15,15,40.0,53.3,76.7,75.6,13.7,10.8,17.9,14.2,6,8,13.3,20.0,20.0,13.3,33.3,26.7
Alemanha_3 3. Liga,Wehen Wiesbaden,15,15,73.3,40.0,79.0,85.5,12.3,7.0,15.6,8.2,11,6,26.7,0.0,26.7,13.3,60.0,26.7
Argentina_1 Liga Profesional,Aldosivi,4,6,25.0,0.0,87.0,,,,,,1,0,0.0,0.0,0.0,0.0,25.0,0.0
Argentina_1 Liga Profesional,Argentinos Juniors,6,3,50.0,0.0,97.0,,7.0,,7.2,,3,0,0.0,0.0,0.0,0.0,50.0,0.0
Argentina_1 Liga Profesional,Atlético Tucumán,6,5,16.7,60.0,83.0,76.7,,10.7,,13.9,1,3,0.0,20.0,0.0,20.0,33.3,20.0
Argentina_1 Liga Profesional,Banfield,7,4,57.1,0.0,76.2,,8.8,,11.6,,4,0,14.3,0.0,42.9,0.0,14.3,0.0
Argentina_1 Liga Profesional,Barracas Central,5,6,60.0,0.0,78.7,,22.5,,28.6,,3,0,20.0,0.0,20.0,0.0,20.0,0.0
Argentina_1 Liga Profesional,Belgrano,5,6,40.0,33.3,80.0,77.5,4.2,14.8,5.3,19.2,2,2,0.0,16.7,20.0,0.0,20.0,33.3
Argentina_1 Liga Profesional,Boca Juniors,7,4,14.3,75.0,77.0,78.3,,13.2,,16.9,1,3,0.0,25.0,14.3,0.0,0.0,50.0
Argentina_1 Liga Profesional,Central Córdoba SdE,5,6,40.0,16.7,69.0,78.0,9.9,,14.3,,2,1,20.0,0.0,40.0,16.7,0.0,0.0
Argentina_1 Liga Profesional,Defensa y Justicia,6,5,33.3,40.0,83.0,63.5,18.4,0.7,22.2,1.1,2,2,16.7,40.0,16.7,20.0,16.7,20.0
Argentina_1 Liga Profesional,Deportivo Riestra,5,5,0.0,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina_1 Liga Profesional,Estudiantes,6,5,33.3,40.0,72.5,73.5,3.5,10.6,4.9,14.4,2,2,16.7,20.0,33.3,0.0,33.3,20.0
Argentina_1 Liga Profesional,Estudiantes Río Cuarto,5,6,20.0,0.0,94.0,,,,,,1,0,0.0,0.0,0.0,0.0,20.0,0.0
Argentina_1 Liga Profesional,Gimnasia La Plata,5,6,20.0,0.0,81.0,,,,,,1,0,0.0,0.0,0.0,0.0,40.0,0.0
Argentina_1 Liga Profesional,Gimnasia Mendoza,5,6,20.0,0.0,73.0,,,,,,1,0,0.0,0.0,20.0,0.0,0.0,0.0
Argentina_1 Liga Profesional,Huracán,6,5,16.7,40.0,67.0,75.0,,12.7,,17.0,1,2,16.7,20.0,0.0,0.0,0.0,20.0
Argentina_1 Liga Profesional,Independiente,6,5,50.0,20.0,73.3,64.0,13.8,,18.8,,3,1,33.3,20.0,0.0,0.0,50.0,0.0
Argentina_1 Liga Profesional,Independiente Rivadavia,7,4,42.9,75.0,79.0,76.0,5.0,15.7,6.3,20.7,3,3,0.0,50.0,28.6,0.0,28.6,25.0
Argentina_1 Liga Profesional,Instituto,6,5,33.3,20.0,92.5,73.0,0.7,,0.8,,2,1,0.0,0.0,0.0,20.0,33.3,0.0
Argentina_1 Liga Profesional,Lanús,4,6,25.0,66.7,93.0,72.5,,1.9,,2.6,1,4,0.0,0.0,0.0,66.7,25.0,0.0
Argentina_1 Liga Profesional,Newell's Old Boys,6,5,50.0,40.0,83.3,89.0,6.7,1.4,8.0,1.6,3,2,0.0,0.0,16.7,0.0,50.0,40.0
Argentina_1 Liga Profesional,Platense,5,6,40.0,33.3,80.5,83.0,7.8,0.0,9.7,0.0,2,2,0.0,0.0,20.0,0.0,20.0,33.3
Argentina_1 Liga Profesional,Racing Club,4,7,50.0,57.1,85.5,76.2,10.6,10.2,12.4,13.4,2,4,0.0,14.3,25.0,14.3,25.0,42.9
Argentina_1 Liga Profesional,River Plate,4,7,50.0,28.6,80.0,77.5,12.7,10.6,15.9,13.7,2,2,0.0,14.3,25.0,0.0,25.0,28.6
Argentina_1 Liga Profesional,Rosario Central,5,6,40.0,33.3,77.0,78.0,18.4,4.2,23.9,5.4,2,2,20.0,0.0,0.0,16.7,40.0,16.7
Argentina_1 Liga Profesional,San Lorenzo,5,5,80.0,40.0,80.5,67.5,10.3,3.5,12.8,5.2,4,2,20.0,40.0,0.0,0.0,80.0,0.0
Argentina_1 Liga Profesional,Sarmiento,6,5,16.7,20.0,86.0,69.0,,,,,1,1,0.0,20.0,0.0,0.0,16.7,0.0
Argentina_1 Liga Profesional,Talleres Córdoba,5,6,60.0,33.3,82.0,80.0,13.5,15.6,16.4,19.4,3,2,20.0,16.7,0.0,0.0,40.0,33.3
Argentina_1 Liga Profesional,Tigre,6,5,50.0,40.0,70.3,65.0,12.9,4.2,18.3,6.5,3,2,33.3,40.0,0.0,0.0,33.3,0.0
Argentina_1 Liga Profesional,Unión Santa Fe,5,6,40.0,33.3,73.0,65.0,8.5,1.4,11.6,2.2,2,2,20.0,33.3,20.0,0.0,20.0,0.0
Argentina_1 Liga Profesional,Vélez Sarsfield,5,6,40.0,33.3,71.0,79.5,11.3,16.3,15.9,20.5,2,2,40.0,16.7,20.0,0.0,0.0,16.7
Australia_1 A-League,Adelaide United,11,11,63.6,54.5,75.1,78.0,14.1,10.5,18.7,13.4,7,6,45.5,18.2,9.1,18.2,36.4,36.4
Australia_1 A-League,Auckland,11,11,45.5,36.4,74.2,79.0,12.5,10.7,16.8,13.5,5,4,18.2,0.0,27.3,27.3,9.1,9.1
Australia_1 A-League,Brisbane Roar,11,11,18.2,36.4,76.5,81.2,3.5,15.3,4.6,18.8,2,4,0.0,9.1,18.2,9.1,9.1,18.2
Australia_1 A-League,Central Coast Mariners,11,10,27.3,30.0,84.0,77.7,12.1,12.1,14.4,15.5,3,3,0.0,10.0,18.2,10.0,18.2,20.0
Australia_1 A-League,Macarthur,11,11,54.5,27.3,66.7,72.7,3.4,9.0,5.2,12.3,6,3,54.5,18.2,18.2,0.0,9.1,18.2
Australia_1 A-League,Melbourne City FC,9,12,33.3,25.0,82.3,74.0,11.6,9.5,14.1,12.9,3,3,11.1,8.3,0.0,16.7,44.4,8.3
Australia_1 A-League,Melbourne Victory FC,11,11,45.5,45.5,75.4,75.2,14.0,10.2,18.5,13.6,5,5,36.4,18.2,9.1,18.2,36.4,18.2
Australia_1 A-League,Newcastle Jets FC,11,11,54.5,54.5,71.8,81.5,6.1,11.4,8.5,13.9,6,6,27.3,9.1,27.3,18.2,45.5,27.3
Australia_1 A-League,Perth Glory FC,11,11,27.3,45.5,85.7,78.8,9.2,8.5,10.8,10.8,3,5,0.0,9.1,9.1,27.3,27.3,18.2
Australia_1 A-League,Sydney FC,11,11,63.6,36.4,75.4,73.8,8.6,12.5,11.5,16.9,7,4,27.3,18.2,36.4,9.1,27.3,9.1
Australia_1 A-League,Wellington Phoenix,12,10,41.7,60.0,75.6,77.2,8.6,11.8,11.4,15.3,5,6,16.7,30.0,8.3,10.0,25.0,30.0
Australia_1 A-League,Western Sydney Wanderers,11,11,27.3,36.4,84.0,73.0,7.5,6.1,9.0,8.3,3,4,0.0,18.2,9.1,9.1,18.2,9.1
Belgica_1 Pro League,Cercle Brugge,15,15,53.3,20.0,80.2,84.3,11.4,14.2,14.2,16.8,8,3,13.3,6.7,13.3,0.0,26.7,13.3
Belgica_1 Pro League,Club Brugge,15,15,60.0,53.3,74.3,77.6,10.5,9.5,14.1,12.2,9,8,20.0,20.0,20.0,26.7,33.3,33.3
Belgica_1 Pro League,FCV Dender EH,15,15,13.3,40.0,91.5,80.3,7.8,13.0,8.5,16.1,2,6,0.0,13.3,0.0,0.0,13.3,26.7
Belgica_1 Pro League,KAA Gent,15,15,60.0,46.7,81.6,73.4,8.4,8.3,10.4,11.3,9,7,6.7,20.0,6.7,13.3,66.7,33.3
Belgica_1 Pro League,KRC Genk,15,15,40.0,53.3,81.8,75.2,9.5,11.0,11.6,14.6,6,8,6.7,26.7,6.7,20.0,33.3,13.3
Belgica_1 Pro League,KV Mechelen,15,15,46.7,33.3,85.1,69.8,11.2,9.4,13.2,13.4,7,5,6.7,20.0,6.7,13.3,40.0,13.3
Belgica_1 Pro League,KVC Westerlo,15,15,46.7,26.7,77.9,64.8,11.0,3.8,14.2,5.8,7,4,13.3,33.3,13.3,0.0,20.0,6.7
Belgica_1 Pro League,OH Leuven,15,15,40.0,53.3,78.7,75.6,12.9,10.8,16.4,14.3,6,8,13.3,20.0,20.0,26.7,13.3,13.3
Belgica_1 Pro League,RAAL La Louvière,15,15,20.0,46.7,80.7,76.7,12.5,12.1,15.5,15.7,3,7,6.7,26.7,0.0,0.0,26.7,40.0
Belgica_1 Pro League,RSC Anderlecht,15,15,40.0,33.3,72.8,82.8,9.4,8.1,12.9,9.8,6,5,26.7,0.0,20.0,13.3,20.0,26.7
Belgica_1 Pro League,Royal Antwerp FC,15,15,33.3,13.3,75.2,85.5,7.0,3.5,9.3,4.1,5,2,6.7,0.0,33.3,0.0,6.7,13.3
Belgica_1 Pro League,Sint-Truiden,15,15,46.7,46.7,81.4,69.6,5.2,6.9,6.3,9.9,7,7,0.0,26.7,20.0,13.3,40.0,40.0
Belgica_1 Pro League,Sporting Charleroi,15,15,46.7,20.0,79.6,77.0,8.3,13.5,10.5,17.6,7,3,13.3,6.7,6.7,6.7,33.3,20.0
Belgica_1 Pro League,Standard Liège,15,15,6.7,20.0,65.0,83.7,,8.5,,10.2,1,3,6.7,0.0,0.0,6.7,0.0,13.3
Belgica_1 Pro League,Union Saint-Gilloise,15,15,80.0,46.7,75.6,82.1,9.9,9.9,13.1,12.1,12,7,20.0,6.7,46.7,13.3,33.3,26.7
Belgica_1 Pro League,Zulte-Waregem,15,15,46.7,33.3,84.0,69.8,8.4,6.6,10.0,9.5,7,5,0.0,20.0,13.3,13.3,40.0,13.3
Brasileiro_A Serie A,Atlético Mineiro,4,4,75.0,0.0,69.3,,5.0,,7.3,,3,0,50.0,0.0,25.0,0.0,25.0,0.0
Brasileiro_A Serie A,Atlético PR,4,3,25.0,66.7,91.0,77.0,,2.8,,3.7,1,2,0.0,0.0,0.0,66.7,25.0,0.0
Brasileiro_A Serie A,Bahia,3,4,33.3,0.0,78.0,,,,,,1,0,0.0,0.0,33.3,0.0,0.0,0.0
Brasileiro_A Serie A,Botafogo,2,4,50.0,50.0,76.0,78.5,,10.6,,13.5,1,2,0.0,0.0,50.0,25.0,100.0,25.0
Brasileiro_A Serie A,Bragantino,4,4,0.0,50.0,,79.5,,19.1,,24.0,0,2,0.0,25.0,0.0,0.0,0.0,25.0
Brasileiro_A Serie A,Chapecoense,4,3,50.0,33.3,72.0,91.0,1.4,,2.0,,2,1,0.0,0.0,75.0,0.0,50.0,33.3
Brasileiro_A Serie A,Corinthians,4,4,25.0,25.0,74.0,82.0,,,,,1,1,0.0,0.0,25.0,0.0,0.0,25.0
Brasileiro_A Serie A,Coritiba,3,5,0.0,20.0,,64.0,,,,,0,1,0.0,20.0,0.0,0.0,0.0,0.0
Brasileiro_A Serie A,Cruzeiro,4,4,25.0,25.0,70.0,85.0,,,,,1,1,25.0,0.0,0.0,0.0,25.0,25.0
Brasileiro_A Serie A,Flamengo,3,4,66.7,0.0,83.0,,21.2,,25.6,,2,0,33.3,0.0,0.0,0.0,33.3,0.0
Brasileiro_A Serie A,Fluminense,4,4,25.0,25.0,94.0,63.0,,,,,1,1,0.0,25.0,0.0,0.0,25.0,0.0
Brasileiro_A Serie A,Grêmio,4,4,50.0,25.0,72.5,75.0,9.2,,12.7,,2,1,25.0,0.0,25.0,25.0,0.0,0.0
Brasileiro_A Serie A,Internacional,4,4,0.0,25.0,,95.0,,,,,0,1,0.0,0.0,0.0,0.0,0.0,25.0
